"x"	"name"	"area"
"http://rdf.freebase.com/ns/en.southeast_region_brazil"	"Southeast Region, Brazil"	924511.3
"http://rdf.freebase.com/ns/en.nigeria"	"Nigeria"	923768
"http://rdf.freebase.com/ns/en.venezuela"	"Venezuela"	916445
"http://rdf.freebase.com/ns/en.inuvialuit_settlement_region"	"Inuvialuit Settlement Region"	906430
"http://rdf.freebase.com/ns/en.mato_grosso"	"Mato Grosso"	903357
"http://rdf.freebase.com/ns/en.binjai"	"Binjai"	902362
"http://rdf.freebase.com/ns/m.047lf_p"	"Pombal, Paraíba"	888811
"http://rdf.freebase.com/ns/en.kara_sea"	"Kara Sea"	880000
"http://rdf.freebase.com/ns/en.caatinga"	"Caatinga"	850000
"http://rdf.freebase.com/ns/en.nord-du-quebec"	"Nord-du-Québec"	839000
"http://rdf.freebase.com/ns/en.namibia"	"Namibia"	825418
"http://rdf.freebase.com/ns/en.northern_ontario"	"Northern Ontario"	802378.67
"http://rdf.freebase.com/ns/en.mozambique"	"Mozambique"	801590
"http://rdf.freebase.com/ns/en.pakistan"	"Pakistan"	796095
"http://rdf.freebase.com/ns/en.khabarovsk_krai"	"Khabarovsk Krai"	788600
"http://rdf.freebase.com/ns/en.new_guinea"	"New Guinea"	786000
"http://rdf.freebase.com/ns/en.turkey"	"Turkey"	783562
"http://rdf.freebase.com/ns/en.atlas_mountains"	"Atlas Mountains"	775340
"http://rdf.freebase.com/ns/en.irkutsk_oblast"	"Irkutsk Oblast"	767900
"http://rdf.freebase.com/ns/en.camacari"	"Camaçari"	759802
"http://rdf.freebase.com/ns/en.chile"	"Chile"	756096.3
"http://rdf.freebase.com/ns/en.zambia"	"Zambia"	752618
"http://rdf.freebase.com/ns/en.north_sea"	"North Sea"	750000
"http://rdf.freebase.com/ns/en.borneo"	"Borneo"	743330
"http://rdf.freebase.com/ns/en.chukotka_autonomous_okrug"	"Chukotka Autonomous Okrug"	737700
"http://rdf.freebase.com/ns/en.alagoinhas"	"Alagoinhas"	733969
"http://rdf.freebase.com/ns/en.susquehanna_river"	"Susquehanna River"	710002
"http://rdf.freebase.com/ns/en.ash_sharqiyah_province"	"Eastern Province, Saudi Arabia"	710000
"http://rdf.freebase.com/ns/en.texas"	"Texas"	696241
"http://rdf.freebase.com/ns/en.baffin_bay"	"Baffin Bay"	689000
"http://rdf.freebase.com/ns/en.jau"	"Jaú"	688337
"http://rdf.freebase.com/ns/en.myanmar"	"Myanmar"	676578
"http://rdf.freebase.com/ns/en.france"	"France"	674843
"http://rdf.freebase.com/ns/m.0j8pnx2"	"Schlitterbahn New Braunfels"	673396
"http://rdf.freebase.com/ns/en.patagonian_desert"	"Patagonian Desert"	670000
"http://rdf.freebase.com/ns/en.empty_quarter"	"Rub' al Khali"	650000
"http://rdf.freebase.com/ns/en.afghanistan"	"Afghanistan"	647500
"http://rdf.freebase.com/ns/en.somalia"	"Somalia"	637661
"http://rdf.freebase.com/ns/en.central_african_republic"	"Central African Republic"	622984
"http://rdf.freebase.com/ns/en.piura"	"Piura"	621161
"http://rdf.freebase.com/ns/en.ukraine"	"Ukraine"	603628
"http://rdf.freebase.com/ns/m.02wyvxk"	"Mexican Plateau"	601882
